Post240Sign,SlotOccurrenceCount,CorpusAdjacentCount,TextCount,DistinctUnitForms,TopUnitForms,TailForms,TopFrame,TopFrameShare,PrimeEntityShare,FrameEntropy,Frames,Sites,Symbols,SemanticFrames,Post240Class,Post240Interpretation,FrameLockScore,Lead,Examples
520,33,46,33,1,240-520:33,<none>:33,002|<END>,0.879,0.879,0.334,002|<END>:29; 235|<END>:1; 741|<END>:1; 031|<END>:1; 060|<END>:1,Harappa:30; Mohenjo-daro:2; Nausharo:1,Bull1:I:24; Bull1:3; Bull1:U:2; Zebu:1; Rhin:1,TerminalFormula:33,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,0.800,Prime 240+X environment; control grammar before treating X as a stem.,H-148; H-252; H-253; H-254; H-255; H-256; H-257; H-258
<NONE>,31,0,31,1,240:31,<none>:31,<START>|233,0.290,0.194,0.845,<START>|233:9; <START>|520:8; 002|<END>:4; 060|740:2; 741|<END>:2; 002|740:2,Harappa:17; Mohenjo-daro:9; Kalibangan:2; Lothal:1; Unknown:1,Bull1:W:6; Bull1:3; Bull1:J:3; Bult:1; Bull1:S:1,TerminalFormula:16; LowEvidenceSequence:10; InitialClassifierFormula:2; PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1,,,0.476,240 occurs as a complete filler; treat as possible standalone operator/control.,H-1052; H-874; H-1912; H-2244; H-1921; H-1908; H-1907; H-246
740,21,25,20,7,240-740-090:15; 240-740-151-031-032:1; 240-740:1; 240-740-679:1; 240-740-017-585:1,090:15; 151-031-032:1; <none>:1; 679:1; 017-585:1,235|<END>,0.714,0.143,0.608,235|<END>:15; 060|<END>:2; 002|<END>:2; 031|<END>:1; 002|740:1,Mohenjo-daro:12; Harappa:7; Chanhu-daro:1; Kalibangan:1,Bull1:W:7; Cros:7; S590:2; Gavi:2; Bull1:II:1,TerminalFormula:15; PrimeEntitySealFormula:4; ClassifierSlotTerminalFormula:2,TERMINAL,unresolved component,0.843,Frame-locked 240 compound; useful grammar control.,C-70; H-2055; H-2054; H-2020; H-2019; H-440; K-16; M-2026
482,16,15,8,2,240-482:8; 240-482-740:8,<none>:8; 740:8,002|740,0.500,1.000,1.000,002|740:8; 002|<END>:8,Harappa:14; Mohenjo-daro:2,Bull1:4; Elep:2,PrimeEntityAdministrativeFormula:14; PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,lexical root candidate,0.933,Prime 240+STEM environment; use as controlled stem lane.,H-2010; H-2011; H-806; H-807; H-808; M-280; H-1130; H-1131
415,12,10,7,4,240-415-100:6; 240-415-100-740-090:3; 240-415-100-740:2; 240-415-220:1,100:6; 100-740-090:3; 100-740:2; 220:1,002|740,0.333,0.667,0.871,002|740:4; 002|<END>:4; 820|740:1; 741|<END>:1; 820|<END>:1; <START>|520:1,Mohenjo-daro:7; Harappa:2; Gola Dhoro (Bagasra):2; Rakhigarhi:1,Bull1:S:7; Bull1:W:2; Bull1:J:2; Elep:1,PrimeEntitySealFormula:8; ClassifierSlotTerminalFormula:2; LowEvidenceSequence:1; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.817,Mixed frame evidence; keep as lower-confidence 240 context.,H-31; M-1746; M-144; M-199; -; M-1814
636,11,19,8,4,240-636-740:4; 240-636:3; 240-636-740-400:3; 240-636-255-817:1,740:4; <none>:3; 740-400:3; 255-817:1,031|<END>,0.273,0.273,0.960,031|<END>:3; 060|740:2; 002|<END>:2; 060|<END>:2; 002|740:1; 233|<END>:1,Harappa:7; Chanhu-daro:2; Mohenjo-daro:2,Bult:3; Bull1:W:1; Bull1:J:1,TerminalFormula:7; PrimeEntitySealFormula:3; InitialClassifierFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.579,Mixed frame evidence; keep as lower-confidence 240 context.,C-78; H-360; H-823; M-41; H-301; H-905; H-988; M-141
220,7,11,6,5,240-220-520:3; 240-220-233-520:1; 240-220:1; 240-220-717:1; 240-220-717-740:1,520:3; 233-520:1; <none>:1; 717:1; 717-740:1,002|<END>,0.571,0.714,0.832,002|<END>:4; 741|<END>:1; 235|<END>:1; 002|740:1,Mohenjo-daro:4; Lothal:2; Harappa:1,Bull1:W:3; Bull1:S:1,TerminalFormula:3; PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1,SLOT_MODIFIER,suffix/final qualifier candidate,0.739,Mixed frame evidence; keep as lower-confidence 240 context.,H-231; M-888; M-962; L-134; L-199; M-651
642,7,7,5,2,240-642-740:4; 240-642:3,740:4; <none>:3,060|<END>,0.286,0.000,0.975,060|<END>:2; 001|<END>:2; 060|740:2; 031|<END>:1,Harappa:6; Mohenjo-daro:1,Bull1:S:1,TerminalFormula:6; InitialClassifierFormula:1,,,0.436,Mixed frame evidence; keep as lower-confidence 240 context.,H-1845; H-237; H-821; H-822; M-941
904,7,8,4,2,240-904-740:4; 240-904:3,740:4; <none>:3,002|740,0.429,0.857,0.914,002|740:3; 002|<END>:3; 235|<END>:1,Harappa:6; Lothal:1,Bull2:6,PrimeEntityAdministrativeFormula:6; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.751,Prime 240+STEM environment; use as controlled stem lane.,-; H-697; H-1100; L-111
603,6,3,3,2,240-603-740:3; 240-603:3,740:3; <none>:3,060|<END>,0.500,0.000,1.000,060|<END>:3; 060|740:3,Harappa:6,,TerminalFormula:6,ROOT_OR_UNRESOLVED,UNRESOLVED,0.533,Mixed frame evidence; keep as lower-confidence 240 context.,H-1138; H-1846; H-1137
705,6,14,6,5,240-705-033:2; 240-705-033-803:1; 240-705-033-520:1; 240-705:1; 240-705-033-176-740:1,033:2; 033-803:1; 033-520:1; <none>:1; 033-176-740:1,235|<END>,0.500,0.000,0.921,235|<END>:3; <START>|520:2; <START>|233:1,Mohenjo-daro:5; Chanhu-daro:1,Bull1:S:3; Bull1:J:1; Gaur:1,TerminalFormula:5; LowEvidenceSequence:1,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,0.600,Mixed frame evidence; keep as lower-confidence 240 context.,C-9; M-1890; M-39; M-814; M-860; M-1068
231,5,8,4,5,240-231-590-390-740:1; 240-231:1; 240-231-520-621:1; 240-231-585-740:1; 240-231-585:1,590-390-740:1; <none>:1; 520-621:1; 585-740:1; 585:1,235|<END>,0.200,0.200,1.000,235|<END>:1; <START>|520:1; 002|<END>:1; 060|<END>:1; 060|740:1,Harappa:2; Unknown:2; Mohenjo-daro:1,Bull1:W:3; Elep:1,TerminalFormula:3; ClassifierSlotTerminalFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.414,Mixed frame evidence; keep as lower-confidence 240 context.,H-39; H-899; M-1150; -
773,5,3,3,2,240-773-740:3; 240-773:2,740:3; <none>:2,002|<END>,0.400,0.800,0.960,002|<END>:2; 002|740:2; 235|<END>:1,Mohenjo-daro:5,Bull1:W:3; Bull1:J:2,PrimeEntitySealFormula:4; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.677,Mixed frame evidence; keep as lower-confidence 240 context.,M-5; M-706; M-979
923,5,4,4,3,240-923-740:3; 240-923-101:1; 240-923:1,740:3; 101:1; <none>:1,235|<END>,0.400,0.600,0.960,235|<END>:2; 002|740:2; 002|<END>:1,Mohenjo-daro:5,Tigr:2; Bull1:S:1; Bull1:W:1,PrimeEntitySealFormula:3; ClassifierSlotTerminalFormula:1; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.634,Mixed frame evidence; keep as lower-confidence 240 context.,M-1760; M-405; M-1166; M-7
100,4,11,4,2,240-100-740:3; 240-100-740-688:1,740:3; 740-688:1,235|<END>,0.250,0.000,1.000,235|<END>:1; 741|<END>:1; 031|<END>:1; 233|<END>:1,Harappa:2; Mohenjo-daro:2,Bull1:J:2; Gaur:1,TerminalFormula:3; PrimeEntitySealFormula:1,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,0.354,Mixed frame evidence; keep as lower-confidence 240 context.,H-76; H-450; M-1982; M-79
176,4,6,2,2,240-176:2; 240-176-740:2,<none>:2; 740:2,002|740,0.500,1.000,1.000,002|740:2; 002|<END>:2,Harappa:2; Mohenjo-daro:2,Bull1:W:2; Tigr:2,PrimeEntitySealFormula:4,ROOT_OR_UNRESOLVED,root-like component; appears independently and inside compounds,0.767,Prime 240+STEM environment; use as controlled stem lane.,H-408; M-289
233,4,24,4,3,240-233-520:2; 240-233:1; 240-233-705-033-520:1,520:2; <none>:1; 705-033-520:1,<START>|520,0.250,0.250,1.000,<START>|520:1; 060|<END>:1; 235|<END>:1; 002|<END>:1,Harappa:2; Mohenjo-daro:2,Bull1:W:3,TerminalFormula:4,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,0.421,Mixed frame evidence; keep as lower-confidence 240 context.,H-874; H-17; M-129; M-1665
255,4,5,4,2,240-255-435-690-740:3; 240-255:1,435-690-740:3; <none>:1,235|<END>,0.750,0.000,0.811,235|<END>:3; 741|<END>:1,Mohenjo-daro:4,Bull1:L:1; Bull1:W:1,TerminalFormula:3; LowEvidenceSequence:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.629,Frame-locked 240 compound; useful grammar control.,M-1691; M-377; M-671; M-1061
590,4,4,4,2,240-590:3; 240-590-390-740:1,<none>:3; 390-740:1,<START>|390,0.750,0.000,0.811,<START>|390:3; 741|<END>:1,Harappa:4,Phyt:3; Bull1:W:1,TerminalFormula:4,SLOT_MODIFIER,prefix/title/classifier-like component,0.629,Frame-locked 240 compound; useful grammar control.,H-733; H-194; H-734; H-449
772,4,4,2,2,240-772-740:2; 240-772:2,740:2; <none>:2,060|<END>,0.250,0.500,1.000,060|<END>:1; 002|<END>:1; 060|740:1; 002|740:1,Harappa:2; Mohenjo-daro:2,Bull1:W:2; Bull1:J:2,TerminalFormula:2; PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.492,Mixed frame evidence; keep as lower-confidence 240 context.,H-14; M-958
055,3,6,3,3,240-055-151:1; 240-055-740:1; 240-055-482-740:1,151:1; 740:1; 482-740:1,235|<END>,1.000,0.000,0.000,235|<END>:3,Mohenjo-daro:3,Gaur:1; Bull1:W:1,TerminalFormula:2; PrimeEntitySealFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.812,Frame-locked 240 compound; useful grammar control.,M-1885; M-29; M-638
235,3,5,2,3,240-235-760:1; 240-235-760-740:1; 240-235-705-033-520:1,760:1; 760-740:1; 705-033-520:1,002|740,0.333,0.667,1.000,002|740:1; 002|<END>:1; 741|<END>:1,Harappa:2; Mohenjo-daro:1,Bull1:S:1,PrimeEntitySealFormula:2; TerminalFormula:1,FORMULA_MARKER,prefix/title/classifier-like component,0.629,Mixed frame evidence; keep as lower-confidence 240 context.,H-593; M-1736
495,3,3,2,3,240-495-615:1; 240-495-615-740:1; 240-495-070-520:1,615:1; 615-740:1; 070-520:1,002|740,0.333,0.667,1.000,002|740:1; 002|<END>:1; 060|<END>:1,Mohenjo-daro:2; Gola Dhoro (Bagasra):1,Bull1:W:2; Bull1:I:1,PrimeEntitySealFormula:2; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.629,Mixed frame evidence; keep as lower-confidence 240 context.,M-1726; -
798,3,3,2,2,240-798-740:2; 240-798:1,740:2; <none>:1,060|<END>,0.333,0.000,1.000,060|<END>:1; 235|<END>:1; 060|740:1,Lothal:2; Mohenjo-daro:1,Bull1:W:3,TerminalFormula:2; PrimeEntitySealFormula:1,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,0.379,Mixed frame evidence; keep as lower-confidence 240 context.,L-26; M-46
017,2,2,1,2,240-017-585:1; 240-017-585-740:1,585:1; 585-740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Harappa:2,Bull1:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,H-272
033,2,2,1,2,240-033-033-760:1; 240-033-033-760-740:1,033-760:1; 033-760-740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Harappa:2,Bull1:J:2,PrimeEntitySealFormula:2,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,0.725,Prime 240+X environment; control grammar before treating X as a stem.,H-1670
226,2,2,2,1,240-226:2,<none>:2,235|<END>,0.500,0.500,1.000,235|<END>:1; 002|<END>:1,Mohenjo-daro:2,Bull1:S:2,LowEvidenceSequence:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.383,Mixed frame evidence; keep as lower-confidence 240 context.,M-1738; M-827
232,2,2,2,2,240-232-140-615-590:1; 240-232:1,140-615-590:1; <none>:1,001|<END>,0.500,0.000,1.000,001|<END>:1; 741|<END>:1,Chanhu-daro:1; Harappa:1,Bull1:I:1; Elep:1,LowEvidenceSequence:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.450,Mixed frame evidence; keep as lower-confidence 240 context.,C-11; H-89
350,2,2,2,1,240-350-504:2,504:2,741|<END>,0.500,0.500,1.000,741|<END>:1; 002|<END>:1,Mohenjo-daro:2,Bull1:S:1; Elep:1,LowEvidenceSequence:1; InitialClassifierFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.383,Mixed frame evidence; keep as lower-confidence 240 context.,M-1757; M-285
455,2,2,2,1,240-455-740:2,740:2,235|<END>,1.000,0.000,0.000,235|<END>:2,Mohenjo-daro:2,Bull1:J:1; Gaur:1,ClassifierSlotTerminalFormula:1; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.658,Frame-locked 240 compound; useful grammar control.,M-808; M-1096
503,2,3,2,2,240-503-017-752-740:1; 240-503-070:1,017-752-740:1; 070:1,235|<END>,0.500,0.000,1.000,235|<END>:1; <START>|520:1,Mohenjo-daro:2,Bull1:W:2,TerminalFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.450,Mixed frame evidence; keep as lower-confidence 240 context.,M-30; M-1727
519,2,1,1,2,240-519-760:1; 240-519-760-740:1,760:1; 760-740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:L:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,M-1753
630,2,4,2,1,240-630-740:2,740:2,031|<END>,0.500,0.000,1.000,031|<END>:1; 741|<END>:1,Harappa:2,Bull1:W:1,TerminalFormula:1; ClassifierSlotTerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.383,Mixed frame evidence; keep as lower-confidence 240 context.,H-2192; H-102
637,2,2,1,2,240-637:1; 240-637-740:1,<none>:1; 740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:S:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,-
639,2,1,1,2,240-639:1; 240-639-740:1,<none>:1; 740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Harappa:2,Bull1:W:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,H-598
643,2,3,1,2,240-643:1; 240-643-740:1,<none>:1; 740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Harappa:2,Bull1:W:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,H-51
706,2,4,2,1,240-706-033-520:2,033-520:2,233|<END>,0.500,0.000,1.000,233|<END>:1; 235|<END>:1,Mohenjo-daro:2,Gaur:1,TerminalFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.383,Mixed frame evidence; keep as lower-confidence 240 context.,M-236; M-1269
717,2,1,1,2,240-717:1; 240-717-740:1,<none>:1; 740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Mohenjo-daro:2,Rhin:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,M-1136
806,2,1,1,2,240-806:1; 240-806-740:1,<none>:1; 740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Lothal:2,,PrimeEntitySealFormula:2,FORMULA_MARKER,LEADING_FORMULA_MARKER,0.725,Prime 240+X environment; control grammar before treating X as a stem.,L-83
840,2,3,1,2,240-840-032:1; 240-840-032-740:1,032:1; 032-740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Mohenjo-daro:2,Scene:2,PrimeEntityAdministrativeFormula:2,ROOT_OR_UNRESOLVED,lexical root candidate,0.725,Prime 240+STEM environment; use as controlled stem lane.,M-454
845,2,8,1,2,240-845-032:1; 240-845-032-740:1,032:1; 032-740:1,002|740,0.500,1.000,1.000,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:W:2,PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,UNRESOLVED,0.725,Prime 240+STEM environment; use as controlled stem lane.,M-1766
003,1,1,1,1,240-003-156:1,156:1,741|<END>,1.000,0.000,0.000,741|<END>:1,Mohenjo-daro:1,Bull1:J:1,TerminalFormula:1,FORMULA_MARKER,LEADING_FORMULA_MARKER / SLOT_INITIAL_MODIFIER,0.638,Frame-locked 240 compound; useful grammar control.,M-93
032,1,3,1,1,240-032-632-125:1,632-125:1,002|<END>,1.000,1.000,0.000,002|<END>:1,Mohenjo-daro:1,,LowEvidenceSequence:1,SLOT_MODIFIER,root-like component; appears independently and inside compounds,0.638,Frame-locked 240 compound; useful grammar control.,M-1188
151,1,1,1,1,240-151:1,<none>:1,235|<END>,1.000,0.000,0.000,235|<END>:1,Mohenjo-daro:1,Bull1:J:1,TerminalFormula:1,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,0.638,Frame-locked 240 compound; useful grammar control.,M-1756
416,1,1,1,1,240-416-840-740:1,840-740:1,741|<END>,1.000,0.000,0.000,741|<END>:1,Dholavira:1,Bull1:V:1,TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,-
440,1,2,1,1,240-440-740:1,740:1,001|<END>,1.000,0.000,0.000,001|<END>:1,Harappa:1,Bull1:J:1,ClassifierSlotTerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,H-411
515,1,1,1,1,240-515:1,<none>:1,<START>|520,1.000,0.000,0.000,<START>|520:1,Mohenjo-daro:1,,TerminalFormula:1,,,0.638,Frame-locked 240 compound; useful grammar control.,M-1605
550,1,3,1,1,240-550-527:1,527:1,002|<END>,1.000,1.000,0.000,002|<END>:1,Mohenjo-daro:1,Bull1:S:1,ClassifierSlotTerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,M-42
555,1,1,1,1,240-555-527:1,527:1,002|<END>,1.000,1.000,0.000,002|<END>:1,Mohenjo-daro:1,Bull1:S:1,TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,M-81
765,1,1,1,1,240-765-740:1,740:1,001|<END>,1.000,0.000,0.000,001|<END>:1,Mohenjo-daro:1,Bull1:W:1,TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,M-84
832,1,1,1,1,240-832-255-070-760:1,255-070-760:1,002|740,1.000,1.000,0.000,002|740:1,Mohenjo-daro:1,Bull1:S:1,PrimeEntitySealFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,M-1676
835,1,1,1,1,240-835-740:1,740:1,235|<END>,1.000,0.000,0.000,235|<END>:1,Chanhu-daro:1,,TerminalFormula:1,,,0.638,Frame-locked 240 compound; useful grammar control.,C-40
921,1,1,1,1,240-921-070:1,070:1,<START>|520,1.000,0.000,0.000,<START>|520:1,Harappa:1,Bull1:W:1,TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,H-64
927,1,1,1,1,240-927-740:1,740:1,031|<END>,1.000,0.000,0.000,031|<END>:1,Mohenjo-daro:1,Bull1:S:1,TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.638,Frame-locked 240 compound; useful grammar control.,M-951
