"Sign","TotalTokens","PositionTotal","StartPct","EndPct","MedialPct","SingletonPct","CandidateClasses"
"740","1928","1371","0.0029","0.674","0.3158","0.0073","DominantCode"
"000","1881","0","0","0","0","0","ErodedUnknown"
"002","851","605","0.0116","0.038","0.9306","0.0198","DominantCode;MedialCandidate"
"032","588","442","0.3416","0.0837","0.4683","0.1063","DominantCode"
"700","578","459","0.146","0.7821","0.0479","0.024","DominantCode;TerminalCandidate"
"033","523","387","0.4134","0.0956","0.4264","0.0646","DominantCode"
"400","502","360","0.0028","0.9028","0.0944","0","DominantCode;TerminalCandidate"
"520","321","255","0.0039","0.8353","0.1608","0","TerminalCandidate"
"741","225","170","0.0941","0.0176","0.8882","0","MedialCandidate"
"060","222","181","0.011","0.011","0.9779","0","MedialCandidate"
"817","221","164","0.8902","0.0244","0.0854","0","InitialCandidate"
"001","213","155","0.0516","0.071","0.8516","0.0258","MedialCandidate"
"090","195","128","0.0625","0.7578","0.1562","0.0234","TerminalCandidate"
"034","184","141","0.7872","0.1064","0.0284","0.078","InitialCandidate"
"100","134","98","0.0306","0.0204","0.949","0","MedialCandidate"
"760","134","90","0.0111","0.0111","0.9778","0","MedialCandidate"
"151","94","72","0.0139","0.8472","0.125","0.0139","TerminalCandidate"
"503","82","69","0.7536","0.0145","0.2319","0","InitialCandidate"
"692","77","55","0.7818","0.0364","0.1636","0.0182","InitialCandidate"
"435","75","54","0.0185","0.0556","0.9259","0","MedialCandidate"
"615","73","60","0.1","0.0333","0.8667","0","MedialCandidate"
"527","63","47","0.0426","0.8723","0.0851","0","TerminalCandidate"
"585","60","47","0","0.0426","0.9574","0","MedialCandidate"
"845","55","48","0","0","1","0","MedialCandidate"
"752","53","49","0.0204","0","0.9796","0","MedialCandidate"
"154","45","38","0","0.7632","0.2368","0","TerminalCandidate"
"923","45","36","0.0833","0","0.9167","0","MedialCandidate"
"335","43","28","0.0357","0.0357","0.9286","0","MedialCandidate"
"482","41","33","0.0606","0.0303","0.9091","0","MedialCandidate"
"460","39","28","0.0714","0","0.9286","0","MedialCandidate"
"070","38","28","0.1071","0","0.8929","0","MedialCandidate"
"501","31","31","0.9355","0","0.0645","0","InitialCandidate"
"500","24","20","0.05","0","0.95","0","MedialCandidate"
"999","17","0","0","0","0","0","EncodedSpace"
"028","5","4","1","0","0","0","RareOrAllographCandidate"
"103","5","4","0.25","0.25","0.5","0","RareOrAllographCandidate"
"132","5","4","0.5","0","0.5","0","RareOrAllographCandidate"
"139","5","3","0.6667","0.3333","0","0","RareOrAllographCandidate"
"153","5","4","0","0.75","0.25","0","RareOrAllographCandidate"
"160","5","3","0.3333","0.3333","0.3333","0","RareOrAllographCandidate"
"200","5","2","0","0.5","0.5","0","RareOrAllographCandidate"
"201","5","5","1","0","0","0","RareOrAllographCandidate"
"202","5","4","0","0","1","0","RareOrAllographCandidate"
"244","5","4","0.25","0.5","0.25","0","RareOrAllographCandidate"
"272","5","4","0.75","0","0.25","0","RareOrAllographCandidate"
"279","5","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"285","5","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"352","5","5","0.6","0","0.4","0","RareOrAllographCandidate"
"362","5","3","0.3333","0","0.6667","0","RareOrAllographCandidate"
"421","5","4","0.25","0","0.75","0","RareOrAllographCandidate"
"442","5","0","0","0","0","0","RareOrAllographCandidate"
"443","5","4","0","0","1","0","RareOrAllographCandidate"
"531","5","5","0.4","0","0.6","0","RareOrAllographCandidate"
"578","5","5","0","0","1","0","RareOrAllographCandidate"
"600","5","2","0","0.5","0.5","0","RareOrAllographCandidate"
"634","5","3","1","0","0","0","RareOrAllographCandidate"
"637","5","4","0.5","0","0.5","0","RareOrAllographCandidate"
"681","5","3","1","0","0","0","RareOrAllographCandidate"
"687","5","3","1","0","0","0","RareOrAllographCandidate"
"704","5","5","0.4","0","0.6","0","RareOrAllographCandidate"
"710","5","3","0.3333","0.3333","0.3333","0","RareOrAllographCandidate"
"712","5","4","0","1","0","0","RareOrAllographCandidate"
"744","5","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"842","5","4","0","1","0","0","RareOrAllographCandidate"
"871","5","4","0.25","0.5","0.25","0","RareOrAllographCandidate"
"029","4","2","0.5","0","0.5","0","RareOrAllographCandidate"
"071","4","3","0.3333","0","0.6667","0","RareOrAllographCandidate"
"081","4","3","0","0","1","0","RareOrAllographCandidate"
"096","4","2","1","0","0","0","RareOrAllographCandidate"
"127","4","3","0.3333","0.3333","0","0.3333","RareOrAllographCandidate"
"143","4","2","0","0.5","0.5","0","RareOrAllographCandidate"
"144","4","4","0.25","0","0","0.75","RareOrAllographCandidate"
"145","4","3","0.3333","0","0","0.6667","RareOrAllographCandidate"
"146","4","3","1","0","0","0","RareOrAllographCandidate"
"192","4","2","0","0","1","0","RareOrAllographCandidate"
"216","4","3","1","0","0","0","RareOrAllographCandidate"
"229","4","3","1","0","0","0","RareOrAllographCandidate"
"268","4","3","0","0","1","0","RareOrAllographCandidate"
"292","4","3","0","0.3333","0.6667","0","RareOrAllographCandidate"
"319","4","2","0.5","0","0.5","0","RareOrAllographCandidate"
"322","4","4","0.75","0","0.25","0","RareOrAllographCandidate"
"409","4","4","0","1","0","0","RareOrAllographCandidate"
"470","4","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"502","4","4","0.5","0","0.5","0","RareOrAllographCandidate"
"543","4","3","0","0","1","0","RareOrAllographCandidate"
"643","4","3","0","0","1","0","RareOrAllographCandidate"
"685","4","2","0","0","0.5","0.5","RareOrAllographCandidate"
"736","4","4","1","0","0","0","RareOrAllographCandidate"
"775","4","2","0","0","1","0","RareOrAllographCandidate"
"797","4","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"799","4","4","1","0","0","0","RareOrAllographCandidate"
"879","4","3","0","0","1","0","RareOrAllographCandidate"
"893","4","3","0.3333","0","0.6667","0","RareOrAllographCandidate"
"898","4","3","0.3333","0","0.3333","0.3333","RareOrAllographCandidate"
"899","4","0","0","0","0","0","RareOrAllographCandidate"
"903","4","4","0.5","0","0.5","0","RareOrAllographCandidate"
"910","4","4","1","0","0","0","RareOrAllographCandidate"
"912","4","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"922","4","3","1","0","0","0","RareOrAllographCandidate"
"012","3","2","0.5","0","0.5","0","RareOrAllographCandidate"
"025","3","3","1","0","0","0","RareOrAllographCandidate"
"046","3","3","0.6667","0.3333","0","0","RareOrAllographCandidate"
"062","3","2","0","0","1","0","RareOrAllographCandidate"
"105","3","1","0","1","0","0","RareOrAllographCandidate"
"117","3","3","0.3333","0","0","0.6667","RareOrAllographCandidate"
"118","3","2","1","0","0","0","RareOrAllographCandidate"
"134","3","1","0","0","1","0","RareOrAllographCandidate"
"168","3","3","0","0","1","0","RareOrAllographCandidate"
"177","3","3","0.3333","0","0.6667","0","RareOrAllographCandidate"
"193","3","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"223","3","1","0","0","1","0","RareOrAllographCandidate"
"230","3","3","0.3333","0","0","0.6667","RareOrAllographCandidate"
"264","3","1","0","0","1","0","RareOrAllographCandidate"
"278","3","3","0.3333","0","0.6667","0","RareOrAllographCandidate"
"286","3","2","0","0.5","0.5","0","RareOrAllographCandidate"
"296","3","1","0","0","1","0","RareOrAllographCandidate"
"300","3","2","0","0","1","0","RareOrAllographCandidate"
"301","3","2","0","0","1","0","RareOrAllographCandidate"
"302","3","2","0","0","1","0","RareOrAllographCandidate"
"308","3","2","0","0","1","0","RareOrAllographCandidate"
"310","3","0","0","0","0","0","RareOrAllographCandidate"
"324","3","3","0.3333","0.3333","0.3333","0","RareOrAllographCandidate"
"330","3","2","0","0","1","0","RareOrAllographCandidate"
"345","3","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"361","3","2","1","0","0","0","RareOrAllographCandidate"
"367","3","2","0","0.5","0.5","0","RareOrAllographCandidate"
"381","3","2","0.5","0","0.5","0","RareOrAllographCandidate"
"424","3","2","0.5","0.5","0","0","RareOrAllographCandidate"
"452","3","2","0","0","0.5","0.5","RareOrAllographCandidate"
"490","3","1","1","0","0","0","RareOrAllographCandidate"
"513","3","2","0.5","0","0.5","0","RareOrAllographCandidate"
"516","3","2","1","0","0","0","RareOrAllographCandidate"
"534","3","2","0","0.5","0.5","0","RareOrAllographCandidate"
"544","3","2","0.5","0","0.5","0","RareOrAllographCandidate"
"551","3","0","0","0","0","0","RareOrAllographCandidate"
"560","3","2","0.5","0","0.5","0","RareOrAllographCandidate"
"561","3","3","0.3333","0.3333","0.3333","0","RareOrAllographCandidate"
"631","3","0","0","0","0","0","RareOrAllographCandidate"
"678","3","2","1","0","0","0","RareOrAllographCandidate"
"683","3","2","1","0","0","0","RareOrAllographCandidate"
"688","3","2","0.5","0.5","0","0","RareOrAllographCandidate"
"716","3","1","1","0","0","0","RareOrAllographCandidate"
"720","3","3","0.6667","0","0.3333","0","RareOrAllographCandidate"
"748","3","1","0","1","0","0","RareOrAllographCandidate"
"782","3","3","0","0","0","1","RareOrAllographCandidate"
"786","3","2","0.5","0","0.5","0","RareOrAllographCandidate"
"805","3","3","0.3333","0","0.6667","0","RareOrAllographCandidate"
"807","3","2","0","0","1","0","RareOrAllographCandidate"
"828","3","1","1","0","0","0","RareOrAllographCandidate"
"829","3","3","1","0","0","0","RareOrAllographCandidate"
"839","3","1","0","0","0","1","RareOrAllographCandidate"
"843","3","3","0.6667","0","0","0.3333","RareOrAllographCandidate"
"852","3","1","1","0","0","0","RareOrAllographCandidate"
"856","3","0","0","0","0","0","RareOrAllographCandidate"
"865","3","2","0","1","0","0","RareOrAllographCandidate"
"870","3","1","1","0","0","0","RareOrAllographCandidate"
"908","3","2","0","0","1","0","RareOrAllographCandidate"
"909","3","2","0","0","0.5","0.5","RareOrAllographCandidate"
"956","3","2","0.5","0","0","0.5","RareOrAllographCandidate"
"020","2","1","0","0","0","1","RareOrAllographCandidate"
"037","2","1","0","0","0","1","RareOrAllographCandidate"
"039","2","1","0","0","0","1","RareOrAllographCandidate"
"041","2","2","0.5","0.5","0","0","RareOrAllographCandidate"
"042","2","2","0","0","1","0","RareOrAllographCandidate"
"045","2","1","0","1","0","0","RareOrAllographCandidate"
"059","2","2","1","0","0","0","RareOrAllographCandidate"
"073","2","1","1","0","0","0","RareOrAllographCandidate"
"080","2","0","0","0","0","0","RareOrAllographCandidate"
"082","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
"092","2","2","0","0","1","0","RareOrAllographCandidate"
"094","2","1","0","0","1","0","RareOrAllographCandidate"
"099","2","2","0","0","1","0","RareOrAllographCandidate"
"112","2","2","1","0","0","0","RareOrAllographCandidate"
"121","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
"122","2","1","0","0","1","0","RareOrAllographCandidate"
"126","2","2","1","0","0","0","RareOrAllographCandidate"
"128","2","1","0","0","1","0","RareOrAllographCandidate"
"133","2","1","1","0","0","0","RareOrAllographCandidate"
"148","2","0","0","0","0","0","RareOrAllographCandidate"
"157","2","2","0","1","0","0","RareOrAllographCandidate"
"178","2","2","1","0","0","0","RareOrAllographCandidate"
"191","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
"195","2","2","1","0","0","0","RareOrAllographCandidate"
"205","2","2","0","0","1","0","RareOrAllographCandidate"
"217","2","0","0","0","0","0","RareOrAllographCandidate"
"227","2","0","0","0","0","0","RareOrAllographCandidate"
"262","2","2","1","0","0","0","RareOrAllographCandidate"
"266","2","1","1","0","0","0","RareOrAllographCandidate"
"277","2","1","0","0","1","0","RareOrAllographCandidate"
"281","2","2","0.5","0","0","0.5","RareOrAllographCandidate"
"287","2","2","0","0","1","0","RareOrAllographCandidate"
"291","2","1","0","0","1","0","RareOrAllographCandidate"
"294","2","1","0","1","0","0","RareOrAllographCandidate"
"299","2","2","0","0","1","0","RareOrAllographCandidate"
"304","2","2","0","0","1","0","RareOrAllographCandidate"
"307","2","1","0","1","0","0","RareOrAllographCandidate"
"309","2","1","1","0","0","0","RareOrAllographCandidate"
"311","2","1","0","0","1","0","RareOrAllographCandidate"
"328","2","1","0","0","1","0","RareOrAllographCandidate"
"341","2","2","0","0","0","1","RareOrAllographCandidate"
"343","2","1","0","0","1","0","RareOrAllographCandidate"
"351","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
"373","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
"386","2","2","0.5","0","0","0.5","RareOrAllographCandidate"
"402","2","2","0","0.5","0","0.5","RareOrAllographCandidate"
"410","2","2","0","1","0","0","RareOrAllographCandidate"
"425","2","0","0","0","0","0","RareOrAllographCandidate"
"441","2","1","0","0","1","0","RareOrAllographCandidate"
"444","2","1","0","0","1","0","RareOrAllographCandidate"
"450","2","2","0","0.5","0.5","0","RareOrAllographCandidate"
"457","2","2","0.5","0.5","0","0","RareOrAllographCandidate"
"475","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
"479","2","2","1","0","0","0","RareOrAllographCandidate"
"483","2","2","0","0","1","0","RareOrAllographCandidate"
"492","2","0","0","0","0","0","RareOrAllographCandidate"
"494","2","2","0.5","0.5","0","0","RareOrAllographCandidate"
"517","2","0","0","0","0","0","RareOrAllographCandidate"
"528","2","2","1","0","0","0","RareOrAllographCandidate"
"533","2","2","0","0","1","0","RareOrAllographCandidate"
"541","2","1","1","0","0","0","RareOrAllographCandidate"
"570","2","1","1","0","0","0","RareOrAllographCandidate"
"579","2","2","1","0","0","0","RareOrAllographCandidate"
"586","2","2","0.5","0","0","0.5","RareOrAllographCandidate"
"596","2","1","0","0","1","0","RareOrAllographCandidate"
"610","2","2","0","0","1","0","RareOrAllographCandidate"
"622","2","0","0","0","0","0","RareOrAllographCandidate"
"627","2","1","0","0","1","0","RareOrAllographCandidate"
"647","2","2","0","0","0.5","0.5","RareOrAllographCandidate"
"680","2","2","0","0.5","0.5","0","RareOrAllographCandidate"
"689","2","1","1","0","0","0","RareOrAllographCandidate"
"721","2","2","0","0","1","0","RareOrAllographCandidate"
"727","2","1","0","0","1","0","RareOrAllographCandidate"
"732","2","2","0.5","0","0.5","0","RareOrAllographCandidate"
