"SignA","SignB","Cosine","SharedFeatures","TotalA","TotalB","CandidateA","CandidateB","StartPctA","StartPctB","EndPctA","EndPctB","MedialPctA","MedialPctB","SiteJaccard","TypeJaccard","SameTextCount","AdjacentCount","ClusterIds","SameCluster","ReviewRank","ReviewTier","ReviewAction","VisualCatalogStatus","PreliminaryVerdict"
"817","861","0.96502","7","221","272","InitialCandidate","Unclassified","0.8902","0.6132","0.0244","0.1698","0.0854","0.217","0.45","0.4444","2","0","N005","Y","1","Tier1","Immediate visual/catalog review","Pending","Distributional candidate only"
"817","820","0.956926","11","221","244","InitialCandidate","Unclassified","0.8902","0.7353","0.0244","0.0824","0.0854","0.1529","0.3333","0.5","4","0","N005","Y","1","Tier1","Immediate visual/catalog review","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"705","706","0.953396","24","219","102","Unclassified","Unclassified","0.2703","0.3378","0.0135","0.0541","0.7095","0.5811","0.5","0.45","0","0","N014","Y","1","Tier1","Immediate visual/catalog review","Pending","Distributional candidate only"
"692","920","0.95317","10","77","153","InitialCandidate","Unclassified","0.7818","0.5798","0.0364","0.0252","0.1636","0.395","0.3571","0.4375","7","0","N008","Y","1","Tier1","Immediate visual/catalog review","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"526","527","0.982841","5","13","63","Unclassified","TerminalCandidate","0","0.0426","1","0.8723","0","0.0851","0.3333","0.3333","0","0","N010","Y","2","Tier2","High-priority visual/catalog review","Pending","Distributional candidate only"
"090","565","0.953096","5","195","15","TerminalCandidate","Unclassified","0.0625","0.0833","0.7578","0.6667","0.1562","0.1667","0.1429","0.1875","0","0","N002","Y","2","Tier2","High-priority visual/catalog review","Pending","Distributional candidate only"
"400","565","0.950984","6","502","15","DominantCode;TerminalCandidate","Unclassified","0.0028","0.0833","0.9028","0.6667","0.0944","0.1667","0.1538","0.2308","1","1","N002","Y","2","Tier2","High-priority visual/catalog review","Pending","Distributional candidate only"
"167","868","0.967096","3","19","13","Unclassified","Unclassified","0","0","1","1","0","0","0.3333","0.5","0","0","N018","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"090","400","0.949789","10","195","502","TerminalCandidate","DominantCode;TerminalCandidate","0.0625","0.0028","0.7578","0.9028","0.1562","0.0944","0.4211","0.6111","19","17","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"435","436","0.949715","3","75","17","MedialCandidate","Unclassified","0.0185","0","0.0556","0.0667","0.9259","0.9333","0.3333","0.3333","0","0","N009","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"090","679","0.946794","3","195","19","TerminalCandidate","Unclassified","0.0625","0.25","0.7578","0.6875","0.1562","0","0.2143","0.1875","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"482","772","0.944688","5","41","10","MedialCandidate","Unclassified","0.0606","0","0.0303","0","0.9091","1","0.5","0.1667","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"151","740","0.94302","34","94","1928","TerminalCandidate","DominantCode","0.0139","0.0029","0.8472","0.674","0.125","0.3158","0.2143","0.3636","13","13","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"565","679","0.940234","3","15","19","Unclassified","Unclassified","0.0833","0.25","0.6667","0.6875","0.1667","0","0.6667","0.5","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"176","927","0.94012","9","217","11","Unclassified","Unclassified","0.4096","0.3333","0.006","0","0.5843","0.6667","0.3","0.3333","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"098","137","0.937473","3","10","16","Unclassified","Unclassified","0.5556","0.5833","0","0.25","0.2222","0.0833","0.5","0.6","0","0","N012","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"176","792","0.936572","4","217","13","Unclassified","Unclassified","0.4096","0.5556","0.006","0","0.5843","0.4444","0.2","0.2727","2","2","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"151","161","0.928616","5","94","13","TerminalCandidate","Unclassified","0.0139","0","0.8472","1","0.125","0","0.4","0.2222","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"820","861","0.924203","9","244","272","Unclassified","Unclassified","0.7353","0.6132","0.0824","0.1698","0.1529","0.217","0.5","0.5789","6","1","N005","Y","3","Tier3","Review after Tier1/Tier2","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"820","880","0.920347","3","244","11","Unclassified","Unclassified","0.7353","0.7143","0.0824","0","0.1529","0.2857","0.2222","0.1667","1","1","N005","Y","3","Tier3","Review after Tier1/Tier2","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"760","923","0.919178","8","134","45","MedialCandidate","MedialCandidate","0.0111","0.0833","0.0111","0","0.9778","0.9167","0.2727","0.5455","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"151","400","0.919148","13","94","502","TerminalCandidate","DominantCode;TerminalCandidate","0.0139","0.0028","0.8472","0.9028","0.125","0.0944","0.5333","0.5","5","5","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"176","630","0.918785","9","217","40","Unclassified","Unclassified","0.4096","0.5217","0.006","0","0.5843","0.4783","0.4","0.7","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"416","698","0.918185","3","57","10","Unclassified","Unclassified","0.5227","0.5","0.1364","0","0.2045","0","0.2222","0.4286","0","0","N003","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"400","621","0.915002","7","502","22","DominantCode;TerminalCandidate","Unclassified","0.0028","0.1667","0.9028","0.7222","0.0944","0.1111","0.2308","0.1538","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"400","679","0.913864","5","502","19","DominantCode;TerminalCandidate","Unclassified","0.0028","0.25","0.9028","0.6875","0.0944","0","0.2308","0.2308","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"151","520","0.910987","12","94","321","TerminalCandidate","TerminalCandidate","0.0139","0.0039","0.8472","0.8353","0.125","0.1608","0.4444","0.3333","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"630","792","0.91097","2","40","13","Unclassified","Unclassified","0.5217","0.5556","0","0","0.4783","0.4444","0.5","0.3","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"033","034","0.90829","9","523","184","DominantCode","InitialCandidate","0.4134","0.7872","0.0956","0.1064","0.4264","0.0284","0.25","0.381","3","2","N016","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"698","942","0.905795","2","10","10","Unclassified","Unclassified","0.5","0","0","0","0","0.125","1","0.3333","0","0","N003","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"817","880","0.905099","2","221","11","InitialCandidate","Unclassified","0.8902","0.7143","0.0244","0","0.0854","0.2857","0.2857","0.2143","0","0","N005","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"222","760","0.903336","5","17","134","Unclassified","MedialCandidate","0.125","0.0111","0","0.0111","0.875","0.9778","0.25","0.3636","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"923","927","0.901191","5","45","11","MedialCandidate","Unclassified","0.0833","0.3333","0","0","0.9167","0.6667","0.4","0.2857","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"027","028","1","2","6","5","Unclassified","RareOrAllographCandidate","1","1","0","0","0","0","0.5","0.5","0","0","N007","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"636","642","0.999777","3","22","8","Unclassified","Unclassified","0","0","0","0","1","1","0.6667","1","0","0","N015","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"347","849","0.992278","2","10","8","Unclassified","Unclassified","0.8889","1","0","0","0.1111","0","0.5","0.6667","0","0","N011","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"110","777","0.991241","2","6","7","Unclassified","Unclassified","0","0.1429","0","0","0","0","0.3333","0","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"028","905","0.990443","2","5","13","RareOrAllographCandidate","Unclassified","1","0.9091","0","0","0","0.0909","0.6667","0.2","0","0","N007","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"027","905","0.990443","2","6","13","Unclassified","Unclassified","1","0.9091","0","0","0","0.0909","0.3333","0","0","0","N007","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"110","942","0.989949","2","6","10","Unclassified","Unclassified","0","0","0","0","0","0.125","0.3333","0","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"201","692","0.988031","2","5","77","RareOrAllographCandidate","InitialCandidate","1","0.7818","0","0.0364","0","0.1636","0.3333","0.25","0","0","N008","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"777","942","0.981278","2","7","10","Unclassified","Unclassified","0.1429","0","0","0","0","0.125","1","0","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"467","468","0.975376","3","9","10","Unclassified","Unclassified","0.625","0.75","0","0","0.375","0.25","0.6667","0.3333","0","0","N004","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"465","468","0.961161","2","6","10","Unclassified","Unclassified","0.8333","0.75","0","0","0.1667","0.25","1","0.25","0","0","N004","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"422","423","0.951875","2","8","7","Unclassified","Unclassified","0","0","0.75","0.8333","0.25","0.1667","1","1","0","0","N006","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"423","426","0.951303","2","7","7","Unclassified","Unclassified","0","0.2","0.8333","0.8","0.1667","0","0.3333","0.4","0","0","N006","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"201","920","0.946676","2","5","153","RareOrAllographCandidate","Unclassified","1","0.5798","0","0.0252","0","0.395","0.1538","0.1333","0","0","N008","Y","4","Sparse","Sparse-data hold","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"465","467","0.942111","2","6","9","Unclassified","Unclassified","0.8333","0.625","0","0","0.1667","0.375","0.6667","0.4","0","0","N004","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"422","426","0.941742","2","8","7","Unclassified","Unclassified","0","0.2","0.75","0.8","0.25","0","0.3333","0.4","0","0","N006","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"467","472","0.940753","4","9","6","Unclassified","Unclassified","0.625","0.4","0","0","0.375","0.6","0.4","0.3333","0","0","N004","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"698","777","0.930233","2","10","7","Unclassified","Unclassified","0.5","0.1429","0","0","0","0","1","0.25","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"681","687","0.928571","2","5","5","RareOrAllographCandidate","RareOrAllographCandidate","1","1","0","0","0","0","1","1","0","0","N017","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"468","472","0.927686","3","10","6","Unclassified","Unclassified","0.75","0.4","0","0","0.25","0.6","0.5","0.2","0","0","N004","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"772","773","0.924473","2","10","9","Unclassified","Unclassified","0","0.1111","0","0","1","0.8889","1","0.25","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"760","773","0.917987","4","134","9","MedialCandidate","Unclassified","0.0111","0.1111","0.0111","0","0.9778","0.8889","0.2","0.2727","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"110","749","0.917663","2","6","6","Unclassified","Unclassified","0","0","0","0.4","0","0","0","0","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"263","634","0.916698","3","6","5","Unclassified","RareOrAllographCandidate","0.8333","1","0","0","0.1667","0","0.1667","0.25","0","0","N013","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"482","773","0.915337","4","41","9","MedialCandidate","Unclassified","0.0606","0.1111","0.0303","0","0.9091","0.8889","0.5","0.1429","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"110","698","0.914991","2","6","10","Unclassified","Unclassified","0","0.5","0","0","0","0","0.3333","0.25","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"773","927","0.912871","5","9","11","Unclassified","Unclassified","0.1111","0.3333","0","0","0.8889","0.6667","0.6667","0.2","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"749","942","0.90844","2","6","10","Unclassified","Unclassified","0","0","0.4","0","0","0.125","0.5","0","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"176","362","0.902176","3","217","5","Unclassified","RareOrAllographCandidate","0.4096","0.3333","0.006","0","0.5843","0.6667","0.3","0.4","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"540","777","0.900765","2","22","7","Unclassified","Unclassified","0.1429","0.1429","0","0","0.3571","0","0.4","0.1","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"110","540","0.90007","2","6","22","Unclassified","Unclassified","0","0.1429","0","0","0","0.3571","0.1667","0.1","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"110","515","0.9","2","6","18","Unclassified","Unclassified","0","0","0","0.125","0","0.375","0.1429","0.1429","0","0","N003","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"565","621","0.899462","4","15","22","Unclassified","Unclassified","0.0833","0.1667","0.6667","0.7222","0.1667","0.1111","0.6667","0.25","0","0","N002","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"440","540","0.898992","4","58","22","Unclassified","Unclassified","0.2174","0.1429","0.0217","0","0.5","0.3571","0.5","0.6364","0","0","N003","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"137","234","0.898513","3","16","9","Unclassified","Unclassified","0.5833","0.375","0.25","0.25","0.0833","0.125","0.4","0.3333","0","0","N012","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"176","388","0.898303","11","217","59","Unclassified","Unclassified","0.4096","0.25","0.006","0.0278","0.5843","0.7222","0.4167","0.6667","1","0","N001","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"101","362","0.898146","3","8","5","Unclassified","RareOrAllographCandidate","0.25","0.3333","0","0","0.75","0.6667","0.5","0.5","0","0","N001","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"520","740","0.897513","28","321","1928","TerminalCandidate","DominantCode","0.0039","0.0029","0.8353","0.674","0.1608","0.3158","0.2955","0.4783","10","0","N002","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"151","621","0.897272","4","94","22","TerminalCandidate","Unclassified","0.0139","0.1667","0.8472","0.7222","0.125","0.1111","0.3","0.25","0","0","N002","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"241","740","0.897086","9","12","1928","Unclassified","DominantCode","0","0.0029","0.8182","0.674","0.1818","0.3158","0.0488","0.0909","1","0","N002","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"545","853","0.896854","3","10","11","Unclassified","Unclassified","1","0.9","0","0","0","0.1","0.3333","0.5","0","0","","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"100","760","0.896519","12","134","134","MedialCandidate","MedialCandidate","0.0306","0.0111","0.0204","0.0111","0.949","0.9778","0.5385","0.6","0","0","N001","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"031","416","0.895563","12","258","57","Unclassified","Unclassified","0.3295","0.5227","0.0925","0.1364","0.5202","0.2045","0.25","0.4118","3","1","N003","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"773","923","0.894208","5","9","45","Unclassified","MedialCandidate","0.1111","0.0833","0","0","0.8889","0.9167","0.5","0.5","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"285","817","0.893538","3","5","221","RareOrAllographCandidate","InitialCandidate","0.6667","0.8902","0","0.0244","0.3333","0.0854","0.2","0.1538","0","0","N005","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"156","423","0.893368","3","107","7","Unclassified","Unclassified","0.0316","0","0.7474","0.8333","0.1895","0.1667","0.375","0.1111","0","0","N006","N","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
"222","773","0.892679","5","17","9","Unclassified","Unclassified","0.125","0.1111","0","0","0.875","0.8889","0.4","0.75","0","0","N001","Y","4","Sparse","Sparse-data hold","Pending","Distributional candidate only"
